timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506839,0.35,63.53,7.32,8313.38,2.77,6.45,5.57
1774506840,0.35,63.53,7.32,8313.23,2.77,6.45,5.57
1774506841,0.35,63.53,7.32,8313.14,2.77,6.45,5.57
1774506842,0.35,63.53,7.32,8312.99,2.77,6.45,5.57
1774506843,0.35,63.53,7.32,8312.86,2.77,6.45,5.57
1774506844,0.35,63.53,7.32,8312.74,2.77,6.45,5.57
1774506845,0.35,63.53,7.32,8312.67,2.77,6.45,5.57
1774506846,0.35,63.53,7.32,8312.57,2.77,6.45,5.57
1774506847,0.35,63.53,7.32,8312.42,2.77,6.45,5.57
1774506848,0.35,63.53,7.32,8312.36,2.77,6.45,5.57
1774506849,0.35,63.54,7.32,8312.26,2.77,6.46,5.58
1774506850,0.35,63.55,7.32,8312.17,2.77,6.47,5.58
1774506851,0.35,63.56,7.32,8312.07,2.77,6.49,5.58
1774506852,0.35,63.57,7.32,8312.00,2.77,6.50,5.58
1774506853,0.35,63.57,7.32,8311.91,2.77,6.51,5.58
1774506854,0.35,63.58,7.32,8311.82,2.77,6.52,5.58
1774506855,0.35,63.59,7.32,8311.72,2.77,6.54,5.58
1774506856,0.35,63.60,7.32,8311.62,2.77,6.55,5.59
1774506857,0.35,63.60,7.32,8311.53,2.77,6.56,5.59
1774506858,0.35,63.61,7.32,8311.44,2.77,6.57,5.59
1774506859,0.35,63.62,7.32,8311.34,2.77,6.58,5.59
1774506860,0.35,63.63,7.32,8311.24,2.77,6.60,5.59
1774506861,0.35,63.63,7.32,8311.13,2.77,6.61,5.59
1774506862,0.35,63.64,7.32,8311.03,2.77,6.62,5.60
1774506864,0.35,63.65,7.32,8311.06,2.77,6.63,5.60
1774506865,0.35,63.66,7.32,8311.05,2.77,6.65,5.60
1774506866,0.35,63.67,7.32,8310.97,2.77,6.66,5.60
1774506867,0.35,63.67,7.32,8310.89,2.77,6.67,5.60
1774506868,0.35,63.68,7.32,8310.87,2.77,6.68,5.60
