timestamp,mem_available
1774520539,56.84
1774520540,56.84
1774520541,56.84
1774520542,56.84
1774520543,56.82
1774520544,56.82
1774520545,56.82
1774520546,56.82
1774520547,56.81
1774520548,56.81
1774520549,56.81
1774520550,56.81
1774520551,56.77
1774520552,56.77
1774520553,56.77
1774520554,56.77
1774520555,56.77
1774520556,56.78
1774520557,56.77
1774520558,56.77
1774520559,56.76
1774520560,56.76
1774520561,56.76
1774520562,56.76
1774520563,56.78
1774520564,56.78
1774520565,56.77
1774520566,56.76
1774520567,56.76
1774520568,56.76
1774520569,56.76
1774520570,56.76
1774520571,56.77
1774520572,56.77
1774520573,56.77
1774520574,56.77
1774520575,56.77
1774520576,56.77
1774520577,56.76
1774520578,56.76
1774520579,56.76
1774520580,56.76
1774520581,56.76
1774520582,56.76
1774520583,56.76
1774520584,56.76
1774520585,56.76
1774520586,56.76
1774520587,56.76
1774520588,56.76
1774520589,56.76
1774520590,56.76
1774520591,56.76
1774520593,56.76
1774520594,56.76
1774520595,56.75
1774520596,56.75
1774520597,56.75
1774520598,56.75
1774520599,56.75
1774520600,56.75
1774520601,56.75
1774520602,56.75
1774520603,56.75
1774520604,56.75
1774520605,56.75
1774520606,56.75
1774520607,56.75
1774520608,56.75
1774520609,56.75
1774520610,56.75
1774520611,56.74
1774520612,56.74
1774520613,56.74
1774520614,56.74
1774520615,56.74
1774520616,56.74
1774520617,56.74
1774520618,56.74
1774520619,56.74
1774520620,56.74
1774520621,56.74
1774520622,56.74
1774520623,56.74
1774520624,56.74
1774520625,56.74
1774520626,56.74
1774520627,56.74
1774520628,56.74
1774520629,56.74
1774520630,56.74
1774520631,56.73
1774520632,56.73
1774520633,56.73
1774520634,56.73
1774520635,56.73
1774520636,56.73
1774520637,56.73
1774520638,56.74
1774520639,56.74
1774520640,56.74
1774520641,56.74
1774520642,56.73
1774520643,56.73
1774520644,56.73
1774520645,56.73
1774520646,56.73
1774520647,56.73
1774520648,56.76
1774520649,56.76
1774520650,56.75
1774520651,56.75
1774520652,56.74
1774520653,56.74
1774520654,56.74
1774520655,56.74
1774520656,56.74
1774520657,56.74
1774520658,56.74
1774520659,56.74
1774520660,56.74
1774520661,56.74
1774520662,56.74
1774520663,56.74
1774520664,56.74
1774520665,56.74
1774520666,56.74
1774520667,56.74
1774520668,56.74
1774520669,56.74
1774520670,56.73
1774520671,56.73
1774520672,56.73
1774520673,56.73
1774520674,56.73
1774520675,56.73
1774520676,56.73
1774520677,56.73
1774520678,56.73
1774520679,56.73
1774520680,56.73
1774520681,56.73
1774520682,56.73
1774520683,56.73
1774520684,56.73
1774520685,56.73
1774520686,56.73
1774520687,56.73
1774520688,56.74
1774520690,56.74
1774520691,56.74
1774520692,56.74
1774520693,56.74
1774520694,56.75
1774520695,56.75
1774520696,56.75
1774520697,56.74
1774520698,56.74
1774520699,56.74
1774520700,56.74
1774520701,56.74
1774520702,56.74
1774520703,56.74
1774520704,56.74
1774520705,56.74
1774520706,56.74
1774520707,56.74
1774520708,56.74
1774520709,56.79
1774520710,56.79
1774520711,56.79
1774520712,56.79
1774520713,56.79
1774520714,56.79
1774520715,56.79
1774520716,56.79
1774520717,56.79
1774520718,56.79
1774520719,56.79
1774520720,56.79
1774520721,56.79
1774520722,56.79
1774520723,56.78
1774520724,56.78
1774520725,56.76
1774520726,56.76
1774520727,56.78
1774520728,56.78
1774520729,56.78
1774520730,56.77
1774520731,56.79
1774520732,56.79
1774520733,56.79
1774520734,56.79
1774520735,56.79
1774520736,56.79
1774520737,56.79
1774520738,56.79
1774520739,56.79
1774520740,56.79
1774520741,56.79
1774520742,56.79
1774520743,56.79
1774520744,56.79
1774520745,56.79
1774520746,56.79
1774520747,56.79
1774520748,56.79
1774520749,56.79
1774520750,56.79
1774520751,56.79
1774520752,56.79
1774520753,56.79
1774520754,56.79
1774520755,56.79
1774520756,56.79
1774520757,56.79
1774520758,56.79
1774520759,56.79
1774520760,56.79
1774520761,56.79
1774520762,56.79
1774520763,56.79
1774520764,56.79
1774520765,56.79
1774520766,56.79
1774520767,56.79
1774520768,56.79
1774520769,56.79
