timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592615,0.99,0.99,0.00,98.02
1774592616,0.00,1.01,0.00,98.99
1774592617,0.00,1.01,0.00,98.99
1774592618,1.00,1.00,0.00,98.01
1774592619,0.50,1.51,0.00,97.99
1774592620,0.00,0.50,0.00,99.50
1774592621,1.00,0.50,0.00,98.50
1774592622,0.50,0.50,0.00,99.00
1774592623,0.50,1.00,0.00,98.51
1774592624,0.00,1.01,0.00,98.99
1774592625,0.99,0.99,0.00,98.02
1774592626,0.00,1.01,0.00,98.99
1774592627,1.00,1.00,0.00,98.01
1774592628,0.50,0.50,0.00,98.99
1774592629,0.00,1.50,0.50,98.00
1774592630,0.99,0.99,0.00,98.02
1774592631,0.00,1.01,0.00,98.99
1774592632,0.00,1.01,0.00,98.99
1774592633,1.00,1.00,0.00,98.01
1774592634,0.00,0.51,0.00,99.49
1774592635,0.50,1.00,0.00,98.50
1774592636,0.50,1.00,0.00,98.50
1774592637,0.00,1.01,0.00,98.99
1774592638,1.00,1.00,0.00,98.01
1774592639,0.00,1.50,0.00,98.50
1774592640,0.51,0.51,0.00,98.99
1774592641,0.00,1.50,0.00,98.50
1774592642,0.50,1.01,0.00,98.49
1774592643,0.00,1.00,0.00,99.00
1774592644,1.00,1.00,0.00,98.01
1774592645,0.00,1.01,0.00,98.99
1774592646,0.00,1.01,0.00,98.99
1774592647,0.50,1.49,0.00,98.01
1774592648,0.00,1.00,0.00,99.00
1774592649,0.00,1.01,0.00,98.99
1774592650,0.50,1.01,0.00,98.49
1774592651,0.00,1.00,0.00,99.00
1774592652,0.50,0.50,0.00,98.99
1774592653,0.50,1.00,0.00,98.50
1774592654,0.50,0.50,0.00,98.99
1774592655,0.00,0.50,0.00,99.50
1774592656,0.50,1.00,0.00,98.50
1774592657,0.00,1.51,0.00,98.49
1774592658,0.50,1.00,0.00,98.50
1774592659,0.00,1.01,0.00,98.99
1774592660,1.01,1.01,0.00,97.99
1774592661,0.50,0.50,0.00,98.99
