timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774507586,6,58,61
1774507587,6,58,61
1774507588,6,58,61
1774507589,6,58,61
1774507590,6,58,61
1774507591,6,58,61
1774507592,6,58,61
1774507593,6,58,61
1774507594,6,58,61
1774507595,6,58,61
1774507596,6,58,61
1774507597,6,58,61
1774507598,6,58,61
1774507599,6,58,61
1774507600,6,58,61
1774507601,6,58,61
1774507602,6,58,61
1774507603,6,58,61
1774507604,6,58,61
1774507605,6,58,61
1774507606,6,58,61
1774507607,6,58,61
1774507608,6,58,61
1774507609,6,58,61
1774507610,6,58,61
1774507611,6,58,61
1774507612,6,58,61
1774507613,6,58,61
1774507614,6,58,61
1774507615,6,58,61
1774507616,6,58,61
1774507617,6,58,61
1774507618,6,58,61
1774507619,6,58,61
1774507620,6,58,61
1774507621,6,58,61
1774507622,6,58,61
1774507623,6,58,61
1774507624,6,58,61
1774507625,6,58,61
1774507626,6,58,61
1774507627,6,58,61
1774507628,6,58,61
1774507629,6,58,61
1774507630,6,58,61
1774507631,6,58,61
1774507632,6,58,61
1774507633,6,58,61
1774507634,6,58,61
1774507635,6,58,61
1774507637,6,58,61
1774507638,6,58,61
1774507639,6,58,61
1774507640,6,58,61
1774507641,6,58,61
1774507642,6,58,61
1774507643,6,58,61
1774507644,6,58,61
1774507645,6,58,61
1774507646,6,58,61
1774507647,6,58,61
1774507648,6,58,61
1774507649,6,58,61
1774507650,6,58,61
1774507651,6,58,61
1774507652,6,58,61
1774507653,6,58,61
1774507654,6,58,61
1774507655,6,58,61
1774507656,6,58,61
1774507657,6,58,61
1774507658,6,58,61
1774507659,6,58,61
1774507660,6,58,61
1774507661,6,58,61
1774507662,6,58,61
1774507663,6,58,61
1774507664,6,58,61
1774507665,6,58,61
1774507666,6,58,61
1774507667,6,58,61
1774507668,6,58,61
1774507669,6,58,61
1774507670,6,58,61
1774507671,6,58,61
1774507672,6,58,61
1774507673,6,58,61
1774507674,6,58,61
1774507675,6,58,61
1774507676,6,58,61
1774507677,6,58,61
1774507678,6,58,61
1774507679,6,58,61
1774507680,6,58,61
1774507681,6,58,61
1774507682,6,58,61
1774507683,6,58,61
1774507684,6,58,61
1774507685,6,58,61
1774507686,6,58,61
1774507687,6,58,61
1774507688,6,58,61
1774507689,6,58,61
1774507690,6,58,61
1774507691,6,58,61
1774507692,6,58,61
1774507693,6,58,61
1774507694,6,58,61
1774507695,6,58,61
1774507696,6,58,61
1774507697,6,58,61
1774507698,6,58,61
1774507699,6,58,61
1774507700,6,58,61
1774507701,6,58,61
