timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1773819137,0.39,2.51,7.87,201.58,1.67,21.10,0.24
1773819138,0.39,2.51,7.87,201.57,1.67,21.10,0.24
1773819139,0.39,2.51,7.87,201.57,1.67,21.10,0.24
1773819140,0.39,2.51,7.87,201.57,1.67,21.10,0.24
1773819141,0.39,2.51,7.87,201.56,1.67,21.10,0.24
1773819142,0.39,2.51,7.87,201.56,1.67,21.10,0.24
1773819143,0.39,2.51,7.87,201.56,1.67,21.09,0.24
1773819144,0.39,2.51,7.87,201.56,1.67,21.09,0.24
1773819145,0.39,2.51,7.87,201.55,1.67,21.09,0.24
1773819146,0.39,2.51,7.87,201.55,1.67,21.09,0.24
1773819147,0.39,2.51,7.87,201.55,1.67,21.09,0.24
1773819148,0.39,2.51,7.87,201.54,1.67,21.09,0.24
1773819149,0.39,2.51,7.87,201.54,1.67,21.09,0.24
1773819150,0.39,2.51,7.87,201.54,1.67,21.09,0.24
1773819151,0.39,2.51,7.87,201.53,1.67,21.09,0.24
1773819152,0.39,2.51,7.87,201.53,1.67,21.09,0.24
1773819153,0.39,2.51,7.87,201.53,1.67,21.09,0.24
1773819154,0.39,2.51,7.86,201.52,1.67,21.09,0.24
1773819155,0.39,2.51,7.86,201.52,1.67,21.09,0.24
1773819156,0.39,2.51,7.86,201.51,1.67,21.09,0.24
1773819157,0.39,2.51,7.86,201.51,1.67,21.09,0.24
1773819158,0.39,2.51,7.86,201.51,1.67,21.09,0.24
1773819159,0.39,2.51,7.86,201.50,1.67,21.09,0.24
1773819160,0.39,2.51,7.86,201.50,1.67,21.09,0.24
1773819161,0.39,2.51,7.86,201.50,1.67,21.09,0.24
1773819162,0.39,2.51,7.86,201.49,1.67,21.09,0.24
1773819163,0.39,2.51,7.86,201.49,1.67,21.09,0.24
1773819164,0.39,2.51,7.86,201.50,1.67,21.07,0.24
1773819165,0.39,2.51,7.86,201.49,1.67,21.07,0.24
1773819166,0.39,2.51,7.86,201.49,1.67,21.07,0.24
1773819167,0.39,2.51,7.86,201.48,1.67,21.07,0.24
1773819168,0.39,2.51,7.86,201.48,1.67,21.07,0.24
1773819169,0.39,2.51,7.86,201.48,1.67,21.07,0.24
1773819170,0.39,2.51,7.86,201.47,1.67,21.07,0.24
1773819171,0.39,2.51,7.86,201.47,1.67,21.07,0.24
1773819172,0.39,2.51,7.86,201.47,1.67,21.07,0.24
1773819173,0.39,2.51,7.86,201.46,1.67,21.07,0.24
1773819174,0.39,2.51,7.86,201.46,1.67,21.07,0.24
1773819175,0.39,2.51,7.86,201.46,1.67,21.06,0.24
1773819176,0.39,2.51,7.86,201.46,1.67,21.06,0.24
1773819177,0.39,2.51,7.86,201.45,1.67,21.06,0.24
1773819178,0.39,2.51,7.86,201.45,1.67,21.06,0.24
1773819179,0.39,2.51,7.86,201.45,1.67,21.06,0.24
1773819180,0.39,2.51,7.86,201.44,1.67,21.06,0.24
1773819181,0.39,2.51,7.86,201.44,1.67,21.06,0.24
1773819182,0.39,2.51,7.86,201.43,1.67,21.06,0.24
1773819183,0.39,2.51,7.86,201.43,1.67,21.06,0.24
1773819184,0.39,2.51,7.86,201.43,1.67,21.06,0.24
1773819185,0.39,2.51,7.86,201.42,1.67,21.06,0.24
1773819186,0.39,2.51,7.86,201.42,1.67,21.06,0.24
1773819187,0.39,2.51,7.86,201.42,1.67,21.06,0.24
1773819188,0.39,2.51,7.86,201.41,1.67,21.06,0.24
1773819189,0.39,2.51,7.86,201.41,1.67,21.06,0.24
1773819190,0.39,2.51,7.86,201.41,1.67,21.06,0.24
1773819191,0.39,2.51,7.86,201.40,1.67,21.06,0.24
1773819192,0.39,2.51,7.86,201.40,1.67,21.06,0.24
1773819193,0.39,2.51,7.86,201.40,1.67,21.06,0.24
1773819194,0.39,2.51,7.86,201.39,1.67,21.06,0.24
1773819195,0.39,2.51,7.86,201.39,1.67,21.06,0.24
1773819196,0.39,2.51,7.86,201.38,1.67,21.06,0.24
1773819197,0.39,2.51,7.86,201.38,1.67,21.06,0.24
1773819198,0.39,2.51,7.86,201.38,1.67,21.06,0.24
1773819199,0.39,2.51,7.86,201.37,1.67,21.06,0.24
1773819200,0.39,2.51,7.86,201.37,1.67,21.06,0.24
1773819201,0.39,2.51,7.86,201.37,1.67,21.06,0.24
1773819202,0.39,2.51,7.86,201.36,1.67,21.06,0.24
1773819203,0.39,2.51,7.86,201.36,1.67,21.06,0.24
1773819204,0.39,2.51,7.86,201.35,1.67,21.06,0.24
1773819205,0.39,2.51,7.86,201.35,1.67,21.06,0.24
1773819206,0.39,2.51,7.86,201.36,1.67,21.04,0.24
1773819207,0.39,2.51,7.86,201.36,1.67,21.04,0.24
1773819208,0.39,2.51,7.86,201.35,1.67,21.04,0.24
1773819209,0.39,2.51,7.86,201.35,1.67,21.04,0.24
1773819210,0.39,2.51,7.86,201.34,1.67,21.04,0.24
1773819211,0.39,2.51,7.86,201.34,1.67,21.04,0.24
1773819212,0.39,2.51,7.86,201.34,1.67,21.04,0.24
1773819213,0.39,2.51,7.86,201.33,1.67,21.04,0.24
1773819214,0.39,2.51,7.89,201.33,1.67,21.04,0.24
1773819215,0.39,2.51,7.89,201.33,1.67,21.04,0.24
1773819216,0.39,2.51,7.89,201.32,1.67,21.04,0.24
1773819217,0.39,2.52,7.89,201.35,1.66,21.01,0.24
1773819218,0.39,2.52,7.89,201.36,1.66,21.00,0.24
1773819219,0.39,2.52,7.89,201.48,1.66,20.97,0.24
1773819220,0.39,2.52,7.89,201.47,1.66,20.97,0.24
1773819221,0.39,2.52,7.90,201.56,1.66,20.97,0.24
1773819222,0.39,2.52,7.90,201.55,1.66,20.97,0.24
1773819223,0.39,2.52,7.90,201.55,1.66,20.97,0.25
1773819224,0.39,2.52,7.89,201.55,1.66,20.96,0.25
1773819225,0.39,2.52,7.89,201.55,1.66,20.96,0.25
1773819226,0.39,2.52,7.89,201.54,1.66,20.96,0.25
1773819227,0.39,2.52,7.89,201.54,1.66,20.96,0.25
1773819228,0.39,2.52,7.89,201.54,1.66,20.96,0.25
1773819229,0.39,2.52,7.89,201.83,1.66,20.96,0.25
1773819230,0.39,2.52,7.89,201.83,1.66,20.96,0.25
1773819231,0.39,2.52,7.90,202.12,1.66,20.96,0.25
1773819232,0.39,2.52,7.90,202.12,1.66,20.96,0.25
1773819233,0.39,2.52,7.93,202.12,1.66,20.96,0.25
1773819234,0.39,2.52,7.93,202.19,1.66,20.95,0.25
1773819235,0.39,2.52,7.93,202.19,1.66,20.95,0.25
1773819236,0.39,2.52,7.93,202.19,1.66,20.95,0.25
1773819237,0.39,2.52,7.93,202.19,1.66,20.95,0.25
1773819238,0.39,2.52,7.93,202.19,1.66,20.95,0.25
1773819239,0.39,2.52,7.93,202.81,1.66,20.95,0.25
1773819240,0.39,2.53,7.93,203.70,1.66,20.97,0.25
1773819241,0.39,2.53,7.93,203.69,1.66,20.97,0.25
1773819242,0.39,2.53,7.93,203.90,1.66,20.96,0.25
1773819243,0.39,2.53,7.93,203.93,1.66,20.93,0.25
1773819244,0.39,2.53,7.93,203.92,1.66,20.93,0.25
1773819246,0.39,2.53,7.93,204.72,1.66,20.93,0.25
1773819247,0.39,2.54,7.93,205.65,1.66,20.97,0.25
1773819248,0.39,2.54,7.93,206.55,1.66,21.23,0.25
1773819249,0.39,2.54,7.93,207.56,1.66,21.47,0.25
1773819250,0.39,2.54,7.93,208.21,1.66,21.70,0.25
1773819251,0.39,2.55,7.93,209.29,1.66,22.24,0.26
1773819252,0.39,2.55,7.93,209.80,1.66,22.34,0.26
1773819253,0.39,2.55,7.93,211.35,1.66,23.17,0.26
1773819254,0.39,2.55,7.93,212.25,1.66,23.37,0.26
1773819255,0.39,2.55,7.93,213.23,1.66,23.59,0.26
1773819256,0.39,2.56,7.93,214.22,1.66,23.84,0.27
1773819257,0.39,2.56,7.93,214.88,1.66,23.94,0.27
1773819258,0.39,2.56,7.93,216.11,1.66,24.29,0.27
1773819259,0.39,2.57,7.93,217.06,1.66,24.48,0.27
1773819260,0.39,2.57,7.94,217.99,1.68,24.56,0.27
1773819261,0.39,2.58,7.94,218.95,1.68,24.59,0.27
1773819262,0.39,2.59,7.94,219.89,1.68,24.71,0.28
1773819263,0.39,2.60,7.94,220.84,1.68,24.68,0.28
1773819264,0.39,2.60,7.94,221.79,1.68,24.69,0.28
1773819265,0.39,2.60,7.94,222.37,1.68,24.71,0.28
1773819266,0.39,2.61,7.94,223.69,1.68,24.73,0.28
1773819267,0.39,2.61,7.94,224.65,1.68,24.73,0.29
1773819268,0.39,2.62,7.94,225.59,1.68,24.79,0.29
1773819269,0.39,2.63,7.94,226.53,1.68,24.81,0.29
1773819270,0.39,2.63,7.94,227.54,1.68,24.81,0.29
1773819271,0.39,2.64,7.94,228.47,1.68,24.82,0.29
1773819272,0.39,2.65,7.94,229.25,1.68,24.87,0.29
1773819273,0.39,2.66,7.94,230.37,1.68,24.84,0.30
1773819274,0.39,2.67,7.94,231.31,1.68,24.85,0.30
1773819275,0.39,2.68,7.94,232.25,1.68,24.88,0.30
1773819276,0.39,2.68,7.94,233.21,1.68,24.89,0.30
1773819277,0.39,2.70,7.94,234.17,1.68,24.95,0.30
1773819278,0.39,2.70,7.94,235.11,1.68,24.96,0.31
1773819279,0.39,2.70,7.94,236.05,1.68,24.99,0.31
1773819280,0.39,2.71,7.94,237.00,1.68,25.02,0.31
1773819281,0.39,2.72,7.94,237.78,1.68,25.26,0.31
1773819282,0.39,2.72,7.94,238.55,1.68,25.51,0.31
1773819283,0.39,2.72,7.94,239.85,1.68,26.09,0.31
1773819284,0.39,2.73,7.94,240.64,1.68,26.03,0.32
1773819285,0.39,2.74,7.94,241.10,1.68,25.99,0.32
